id,source,target,draft_prediction,refined_prediction
0,"Thực trạng kiến thức và thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố ảnh hưởng tại tỉnh Viêng Chăn, CHDCND Lào, năm 2017","Knowledge, practices in public health service utilization among health insurance card’s holders and influencing factors in Vientiane, Lao","Situation of knowledge and practice of health insurance cardholders in using medical examination and treatment services at public health facilities and some influencing factors in Vientiane, Lao PDR, 2017","Situation of knowledge and practice of health insurance cardholders in using medical examination and treatment services at public health facilities and some influencing factors in Vientiane, Lao PDR, 2017"
1,"Mô tả thực trạng kiến thức, thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố liên quan tại tỉnh Viêng Chăn, Cộng hoà Dân chủ Nhân dân Lào năm 2017.","Describe knowledge, practices in public health service utilization among health insurance card's holders and influencing factors in Vientiane, Lao PDR, 2017.","Mô tả thực trạng kiến thức, thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố liên quan tại tỉnh Viêng Chăn, Cộng hoà Dân chủ Nhân dân Lào năm 2017.","""Describe the current status of knowledge, practice of people with health insurance in using medical services at public health facilities and some related factors in Vieng Chan province, Lao People's Democratic Republic in 2017."""
2,"Phương pháp: Thiết kế nghiên mô tả cắt ngang được thực hiện trên 928 người trưởng thành có thẻ bảo hiểm y tế tại 2 huyện Phone Hong và Keo Oudom, tỉnh Viêng Chăn.","Methodology: A cross sectional study was used among 928 adult health insurance card's holders in Phone Hong and Keo Oudom districts, Vientiane province.","Phương pháp: Thiết kế nghiên mô tả cắt ngang được thực hiện trên 928 người trưởng thành có thẻ bảo hiểm y tế tại 2 huyện Phone Hong và Keo Oudom, tỉnh Viêng Chăn.","Method: A cross-sectional descriptive study was conducted on 928 adults with health insurance cards in 2 districts of Phone Hong and Keo Oudom, Vientiane province."
3,"Kết quả: Tỷ lệ người biết được khám chữa bệnh (KCB) miễn phí tại nơi đăng ký ban đầu chiếm 44,5%, được cung cấp thông tin về bảo hiểm y tế (BHYT) chiếm 34,8%.",Results: Percentage of card's holders who knew the finance-free utilization of the first registered public health services was 44.5% and being provided health insurance information was 34.8%.,"Kết quả: Tỷ lệ người biết được khám chữa bệnh (KCB) miễn phí tại nơi đăng ký ban đầu chiếm 44.5%, được cung cấp thông tin về bảo hiểm y tế (BHYT) chiếm 34.8%.","Results: The proportion of people whoknewaboutfree medical examination at the first registration place accounted for 44.5%, received information about health insurance accounted for 34.8%."
4,"Tỷ lệ người có thẻ BHYT thực hành khám chữa bệnh đúng nơi đăng ký KCB ban đầu chiếm 61,8%.",Percentage of card's holders who went to the first registered public health services was 61.8%.,Tỷ lệ người có thẻ BHYT thực hành khám chữa bệnh đúng nơi đăng ký KCB ban đầu chiếm 61.8%.,The proportion of people with health insurance cards who practice medical examination and treatment at the rightplace accounted for 61.8%.
5,"Tỷ lệ người có thẻ BHYT sử dụng thẻ để lấy thuốc cho người khác khá cao (20,1%).",Percentage of card's holders who went to public health services to receive medicines for their relatives / others people was 20.1%.,Tỷ lệ người có thẻ BHYT sử dụng thẻ để lấy thuốc cho người khác khá cao (20.1%).,The proportion of people with health insurance cardsusing the card to getdrugs for others is quitehigh (20.1%).
6,"Các yếu tố khoảng cách từ nhà đến cơ sở y tế, thời gian tham gia BHYT và được tiếp nhận thông tin về BHYT của người có thẻ BHYT là những yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng thẻ BHYT trong khám chữa bệnh.","The determinants of knowledge and practices in public health service utilization among health insurance card's holders were distance and time taken to health services, time of health insurance and health insurance information provided.","Các yếu tố khoảng cách từ nhà đến cơ sở y tế, thời gian tham gia BHYT và được tiếp nhận thông tin về BHYT của người có thẻ BHYT là những yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng thẻ BHYT trong khám chữa bệnh.","Distance from home to health facilities, time participating in health insurance and receiving information about health insurance are factors affecting knowledge and practice of using health insurance cards in medical examination and treatment."
7,Kết luận: Kiến thức và thực hành của người có thẻ BHYT trong sử dụng dịch vụ y tế công tại Cộng hoà Dân chủ Nhân dân Lào còn hạn chế.,Conclusions: Knowledge and practices in public health service utilization among health insurance card's holders were still limited.,Kết luận: Kiến thức và thực hành của người có thẻ BHYT trong sử dụng dịch vụ y tế công còn hạn chế.,Conclusion: Knowledge and practice of people with health insurance in using public health services in Lao People's Democratic Republic is limited.
8,Cần tập trung vào truyền thông cho những nhóm người sống xa cơ sở y tế và những người tham gia bảo hiểm y tế không liên tục.,It's necessary to provide health insurance communication and education for people who live in remote areas and participate interupted health insurance.,Cần tập trung vào truyền thông cho những nhóm người sống xa cơ sở y tế và những người tham gia bảo hiểm y tế không liên tục.,It is necessary to focus on communication for groups of people living far from health facilities and those participating in non-continuous health insurance.
9,Nghiên cứu xác định thuốc diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao,Studying the method of quantification of diclofenac sodium in traditional herbal medicines used for treatment or support osteoarthritis by high performance liquid chromatography,Nghiên cứu xác định diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao,"""Study on determination of diclofenac sodium in pharmaceutical products by high performance liquid chromatography"""
10,"Để góp phần vào công tác kiểm tra phát hiện các chất cấm trộn lẫn trong thuốc đông dược, chúng tôi tiến hành đề tài xây dựng phương pháp định lượng diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao với detector UV-vis.","In order to contribute to the detection of banned substances in traditional herbal medicines, we conducted a study on the method of quantification of diclofenac sodium in traditional herbal medicines which are used for treatment or support for osteoarthritis by high performance liquid chromatography (HPLC).","Để góp phần vào công tác kiểm tra phát hiện các chất cấm trộn lẫn trong thuốc đông dược, chúng tôi tiến hành đề tài xây dựng phương pháp định lượng diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao với detector UV-vis.","To contribute to the inspection and detection of banned substances mixed in traditional medicines, we conducted the topic of building a method to quantify diclofenac sodium mixed in traditional medicines used for treating or supporting treatment of musculoskeletal diseases by high performance liquid chromatography with UV-vis detector."
11,"Sau khi xử lý mẫu diclofenac natri được tiến hành định lượng bằng phương pháp sắc ký lỏng hiệu năng cao với cột pha đảo (C 8, 150 mm x 4,6 mm, 5 μm), pha động methanol / đệm phosphat pH 2,5 (7 0:3 0 v / v) tốc độ dòng chảy là 1,0 ml / phút, bước sóng phát hiện 275 nm.","After precipating, diclofenac sodium was eluted by HPLC using a reverse-phase column (C8, 150 mm x 4.6 mm, 5 μm), mobile phase contains methanol / phosphat buffer (70: 30 v / v, pH 2.5), at a flow rate of 1.0 ml / min, and a wavelength detection at 275 nm.","Sau khi xử lý mẫu diclofenac natri được tiến hành định lượng bằng phương pháp sắc ký lỏng hiệu năng cao với cột pha đảo (C8, 150 mm x 4.6 mm, 5 μm), pha động methanol / đệm phosphat pH 2.5 (70: 30 v/v) tốc độ dòng chảy là 1.0 ml/phút, bước sóng phát hiện 275 nm.","After diclofenac sodium was processed, it was quantified by high performance liquid chromatography with reversed phase (C8, 150 mm x 4.6 mm, 5 μm), mobile phase methanol/phosphate buffer pH 2.5 (70: 30 v/v), flowrate 1.0 ml/min, detection wavelength 275 nm."
12,Như vậy phương pháp đã xây dựng phù hợp đề xác định diclofenac natri trong dược liệu.,"Therefor, the method was appropriately formulated to determine diclofenac sodium in herbal medicines.",Như vậy phương pháp đã xây dựng phù hợp đề xác định diclofenac natri trong dược liệu.,"Thus, the method has been established to determine diclofenac sodium in medicinal materials."
