id,source,target,draft_prediction,refined_prediction
0,"Knowledge, practices in public health service utilization among health insurance card’s holders and influencing factors in Vientiane, Lao","Thực trạng kiến thức và thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố ảnh hưởng tại tỉnh Viêng Chăn, CHDCND Lào, năm 2017","Kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế và các yếu tố liên quan tại Vientiane, Lào","Kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế và các yếu tố liên quan tại Vientiane, Lào"
1,"Describe knowledge, practices in public health service utilization among health insurance card's holders and influencing factors in Vientiane, Lao PDR, 2017.","Mô tả thực trạng kiến thức, thực hành của người có thẻ bảo hiểm y tế trong sử dụng dịch vụ khám chữa bệnh ở các cơ sở y tế công và một số yếu tố liên quan tại tỉnh Viêng Chăn, Cộng hoà Dân chủ Nhân dân Lào năm 2017.","Mô tả kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế và các yếu tố liên quan tại Vientiane, Lào, năm 2017.","Mô tả kiến thức, thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế và các yếu tố liên quan tại Vientiane, Lào, năm 2017."
2,"Methodology: A cross sectional study was used among 928 adult health insurance card's holders in Phone Hong and Keo Oudom districts, Vientiane province.","Phương pháp: Thiết kế nghiên mô tả cắt ngang được thực hiện trên 928 người trưởng thành có thẻ bảo hiểm y tế tại 2 huyện Phone Hong và Keo Oudom, tỉnh Viêng Chăn.","Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 928 người có thẻ bảo hiểm y tế (BHYT) tại hai huyện Phôngxênh và Kéo Óc, tỉnh Vientiane, Lào.","Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả cắt ngang trên 928 người có thẻ bảo hiểm y tế (BHYT) tại hai huyện Phôngxênh và Kéo Óc, tỉnh Vientiane, Lào."
3,Results: Percentage of card's holders who knew the finance-free utilization of the first registered public health services was 44.5% and being provided health insurance information was 34.8%.,"Kết quả: Tỷ lệ người biết được khám chữa bệnh (KCB) miễn phí tại nơi đăng ký ban đầu chiếm 44,5%, được cung cấp thông tin về bảo hiểm y tế (BHYT) chiếm 34,8%.",Kết quả: Tỷ lệ người có thẻ BHYT biết sử dụng dịch vụ BHYT miễn phí lần đầu là 44.5% và được cung cấp thông tin về BHYT là 34.8%.,Kết quả: Tỷ lệ người có thẻ BHYT biết sử dụng dịch vụ BHYT miễn phí lần đầu là 44.5% và được cung cấp thông tin về BHYT là 34.8%.
4,Percentage of card's holders who went to the first registered public health services was 61.8%.,"Tỷ lệ người có thẻ BHYT thực hành khám chữa bệnh đúng nơi đăng ký KCB ban đầu chiếm 61,8%.",Tỷ lệ người có thẻ BHYT đi khám tại các cơ sở y tế công lập đầu tiên là 61.8%.,Tỷ lệ người có thẻ BHYT đi khám tại các cơ sở y tế công lập đầu tiên là 61.8%.
5,Percentage of card's holders who went to public health services to receive medicines for their relatives / others people was 20.1%.,"Tỷ lệ người có thẻ BHYT sử dụng thẻ để lấy thuốc cho người khác khá cao (20,1%).",Tỷ lệ người có thẻ BHYT đến khám chữa bệnh tại các cơ sở y tế công lập để mua thuốc cho người thân / người khác là 20.1%.,Tỷ lệ người có thẻ BHYT đến khám chữa bệnh tại các cơ sở y tế công lập để mua thuốc cho người thân / người khác là 20.1%.
6,"The determinants of knowledge and practices in public health service utilization among health insurance card's holders were distance and time taken to health services, time of health insurance and health insurance information provided.","Các yếu tố khoảng cách từ nhà đến cơ sở y tế, thời gian tham gia BHYT và được tiếp nhận thông tin về BHYT của người có thẻ BHYT là những yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng thẻ BHYT trong khám chữa bệnh.","Các yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế là khoảng cách và thời gian đến các cơ sở y tế, thời gian cấp thẻ bảo hiểm y tế và thông tin về bảo hiểm y tế được cung cấp.","Các yếu tố ảnh hưởng đến kiến thức và thực hành sử dụng dịch vụ y tế công cộng của người có thẻ bảo hiểm y tế là khoảng cách và thời gian đến các cơ sở y tế, thời gian cấp thẻ bảo hiểm y tế và thông tin về bảo hiểm y tế được cung cấp."
7,Conclusions: Knowledge and practices in public health service utilization among health insurance card's holders were still limited.,Kết luận: Kiến thức và thực hành của người có thẻ BHYT trong sử dụng dịch vụ y tế công tại Cộng hoà Dân chủ Nhân dân Lào còn hạn chế.,Kết luận: Kiến thức và thực hành sử dụng dịch vụ y tế bảo hiểm y tế còn hạn chế.,Kết luận: Kiến thức và thực hành sử dụng dịch vụ y tế bảo hiểm y tế còn hạn chế.
8,It's necessary to provide health insurance communication and education for people who live in remote areas and participate interupted health insurance.,Cần tập trung vào truyền thông cho những nhóm người sống xa cơ sở y tế và những người tham gia bảo hiểm y tế không liên tục.,Cần cung cấp thông tin và giáo dục về bảo hiểm y tế cho những người sống ở vùng sâu vùng xa và tham gia bảo hiểm y tế gián đoạn.,Cần cung cấp thông tin và giáo dục về bảo hiểm y tế cho những người sống ở vùng sâu vùng xa và tham gia bảo hiểm y tế gián đoạn.
9,Studying the method of quantification of diclofenac sodium in traditional herbal medicines used for treatment or support osteoarthritis by high performance liquid chromatography,Nghiên cứu xác định thuốc diclofenac natri lẫn trong chế phẩm đông dược được sử dụng điều trị hoặc hỗ trợ điều trị các bệnh về xương khớp bằng phương pháp sắc ký lỏng hiệu năng cao,Nghiên cứu phương pháp định lượng diclofenac natri trong chế phẩm thảo dược hỗ trợ điều trị thoái hoá khớp bằng sắc ký lỏng hiệu năng cao,Nghiên cứu phương pháp định lượng diclofenac natri trong chế phẩm thảo dược hỗ trợ điều trị thoái hoá khớp bằng sắc ký lỏng hiệu năng cao
